2022-07-11 05:33:01.452131
0: 62.402408435878655
1: 14.8180370058616
2: 12.443245270649593
3: 11.001827559669813
4: 10.330097807596127
5: 9.962780497657755
6: 9.638420677855612
7: 9.340588669379553
8: 9.097895278682312
9: 8.799362748004496
10: 8.542944140136242
11: 8.260419390574098
12: 8.058904062683384
13: 7.783844642986854
14: 7.57642068815728
15: 7.325839049816132
16: 7.14237565100193
17: 6.9692112279310825
18: 6.739267373594145
19: 6.501422894919912
20: 6.247019676739971
21: 6.052166488085253
22: 5.777939811348915
23: 5.53304473121961
24: 5.305084651559591
25: 5.122826192254822
26: 4.980661823948225
27: 4.8216012070824705
28: 4.700265694409609
29: 4.6493345033501585
